item_name,description,category
coffee grounds,used in coffee maker,Organic
vegetable peels,from cooking prep,Organic
used bread crust,stale leftover,Organic
used orange peel,after eating fruit,Organic
used tea leaves,used after brewing,Organic
coffee grounds,used in coffee maker,Organic
banana peel,from fruit waste,Organic
bread crust,stale leftover,Organic
orange peel,after eating fruit,Organic
lettuce scraps,from salad preparation,Organic
corn husk,removed before cooking at home,Organic
corn husk,removed before cooking,Organic
used orange peel,after eating fruit,Organic
apple core,leftover from eating,Organic
bread crust,stale leftover,Organic
coffee grounds,used in coffee maker,Organic
orange peel,after eating fruit at home,Organic
used egg shells,broken during cooking,Organic
orange peel,after eating fruit,Organic
corn husk,removed before cooking at home,Organic
corn husk,removed before cooking,Organic
orange peel,after eating fruit,Organic
coffee grounds,used in coffee maker at home,Organic
coffee grounds,used in coffee maker,Organic
used bread crust,stale leftover,Organic
used banana peel,from fruit waste at home,Organic
banana peel,from fruit waste,Organic
apple core,leftover from eating,Organic
used lettuce scraps,from salad preparation,Organic
egg shells,broken during cooking,Organic
used coffee grounds,used in coffee maker at home,Organic
vegetable peels,from cooking prep,Organic
used apple core,leftover from eating at home,Organic
corn husk,removed before cooking,Organic
tea leaves,used after brewing,Organic
used vegetable peels,from cooking prep,Organic
tea leaves,used after brewing at home,Organic
used coffee grounds,used in coffee maker at home,Organic
tea leaves,used after brewing,Organic
orange peel,after eating fruit,Organic
used lettuce scraps,from salad preparation,Organic
vegetable peels,from cooking prep at home,Organic
used banana peel,from fruit waste,Organic
corn husk,removed before cooking,Organic
used corn husk,removed before cooking,Organic
banana peel,from fruit waste,Organic
apple core,leftover from eating,Organic
corn husk,removed before cooking,Organic
vegetable peels,from cooking prep at home,Organic
used apple core,leftover from eating at home,Organic
lettuce scraps,from salad preparation,Organic
apple core,leftover from eating at home,Organic
used egg shells,broken during cooking at home,Organic
egg shells,broken during cooking,Organic
vegetable peels,from cooking prep at home,Organic
used apple core,leftover from eating,Organic
corn husk,removed before cooking,Organic
vegetable peels,from cooking prep at home,Organic
lettuce scraps,from salad preparation,Organic
tea leaves,used after brewing,Organic
used corn husk,removed before cooking,Organic
lettuce scraps,from salad preparation at home,Organic
used lettuce scraps,from salad preparation,Organic
used vegetable peels,from cooking prep,Organic
tea leaves,used after brewing at home,Organic
tea leaves,used after brewing,Organic
orange peel,after eating fruit at home,Organic
used apple core,leftover from eating,Organic
corn husk,removed before cooking,Organic
banana peel,from fruit waste,Organic
used coffee grounds,used in coffee maker at home,Organic
egg shells,broken during cooking,Organic
bread crust,stale leftover at home,Organic
tea leaves,used after brewing,Organic
corn husk,removed before cooking,Organic
orange peel,after eating fruit,Organic
used coffee grounds,used in coffee maker at home,Organic
banana peel,from fruit waste at home,Organic
tea leaves,used after brewing,Organic
used lettuce scraps,from salad preparation at home,Organic
tea leaves,used after brewing,Organic
used vegetable peels,from cooking prep,Organic
lettuce scraps,from salad preparation,Organic
orange peel,after eating fruit,Organic
banana peel,from fruit waste at home,Organic
used lettuce scraps,from salad preparation,Organic
orange peel,after eating fruit,Organic
used vegetable peels,from cooking prep,Organic
banana peel,from fruit waste,Organic
